adherence,"Compliance with a regimen (chemoprophylaxis or treatment) or with procedures and practices prescribed by
a health care worker"
adverse drug reaction,"A response to a medicine that is harmful and unintended and which occurs at doses normally used in
humans"
adverse event,"Any untoward medical occurrence in a person exposed to a biological or chemical product, which does not
necessarily have a causal relationship with the product"
"adverse event, serious","Any untoward medical occurrence in a person exposed to a biological or chemical product, which is not
necessarily causally related to the product, and results in death, requirement for or prolongation of inpatient
hospitalization, significant disability or incapacity or is life-threatening"
aestivation,"A process by which mosquitoes at one or several stages (eggs, larvae, pupae, adults) survive by means of
behavioural and physiological changes during periods of drought or high temperature"
age group,"Subgroup of a population classified by age. The following grouping is usually recommended:
• 0–11 months
• 12–23 months
• 2–4 years
• 5–9 years
• 10–14 years
• 15–19 years
• ≥ 20 years"
"age, physiological","Adult female mosquito age in terms of the number of gonotrophic cycles completed: nulliparous, primiparous,
2-parous, 3-parous et seq."
"age-grading, of female
adult mosquitoes","Classification of female mosquitoes according to their physiological age (number of gonotrophic cycles) or
simply as nulliparous or parous (parity rate)"
"age-grading, of
mosquito larvae","Classification of mosquito larvae as instars (development stages) 1, 2, 3 and 4"
"annual blood
examination rate",The number of people receiving a parasitological test for malaria per unit population per year
"Anopheles, infected",Female Anopheles mosquitoes with detectable malaria parasites
"Anopheles, infective",Female Anopheles mosquitoes with sporozoites in the salivary glands
anopheline density,"Number of female anopheline mosquitoes in relation to the number of specified shelters or hosts (e.g. per
room, per trap or per person) or to a given period (e.g. overnight or per hour), specifying the method of
collection"
anthropophilic,"Description of mosquitoes that show a preference for feeding on humans, even when non-human hosts are"
