0,1
Summary of recommendations,........................................................................................................................................................................5
1. Abbreviations..............................................................................................................................................................................................27,
2. Executive summary....................................................................................................................................................................................29,
2.1 Guideline translations,.......................................................................................................................................................................31
3. Introduction.................................................................................................................................................................................................31,
4. Prevention ..................................................................................................................................................................................................36,
4.1 Vector control....................................................................................................................................................................................36,
4.1.1 Interventions recommended for large-scale deployment .......................................................................................................41,
4.1.2 Co-deploying ITNs and IRS....................................................................................................................................................72,
4.1.3 Supplementary interventions..................................................................................................................................................76,
4.1.4 Research needs,.....................................................................................................................................................................98
4.2 Preventive chemotherapies,...........................................................................................................................................................102
4.2.1 Intermittent preventive treatment of malaria in pregnancy (IPTp) ........................................................................................103,
4.2.2 Perennial malaria chemoprevention (PMC) - formerly intermittent preventive treatment of malaria in infants (IPTi)...........109,
4.2.3 Seasonal malaria chemoprevention (SMC)..........................................................................................................................,113
4.2.4 Intermittent preventive treatment of malaria in school-aged children (IPTsc).......................................................................118,
4.2.5 Post-discharge malaria chemoprevention (PDMC)..............................................................................................................123,
4.2.6 Mass drug administration (MDA)..........................................................................................................................................128,
4.2.6.1 MDA for burden reduction..........................................................................................................................................129,
4.2.6.2 MDA for burden reduction in emergency settings......................................................................................................135,
4.2.6.3 MDA to reduce transmission of P. falciparum in very low to low transmission settings.............................................137,
4.2.6.4 MDA to reduce transmission o f P. falciparum in moderate to high transmission settings .........................................142,
4.2.6.5 MDA to reduce transmission of P. vivax ....................................................................................................................146,
4.2.6.6 Mass relapse prevention (MRP) to reduce transmission of P. vivax,..........................................................................150
4.3 Vaccines..........................................................................................................................................................................................152,
5. Case management...................................................................................................................................................................................163,
5.1 Diagnosing malaria ........................................................................................................................................................................163,
5.2 Treating malaria,..............................................................................................................................................................................166
5.2.1 Treating uncomplicated malaria,...........................................................................................................................................166
5.2.1.1 Artemisinin-based combination therapy.....................................................................................................................167,
5.2.1.1.1 Duration of treatment.......................................................................................................................................172,
5.2.1.1.2 Dosing of ACTs................................................................................................................................................173,
5.2.1.2 Recurrent falciparum malaria.....................................................................................................................................177,
5.2.1.3 Reducing the transmissibility of treated P. falciparum infections in areas of low-intensity transmission....................177,
5.2.1.4 Special risk groups.....................................................................................................................................................179,
5.2.1.4.1 Pregnant and lactating women........................................................................................................................180,
5.2.1.4.2 Young children and infants ..............................................................................................................................186,
5.2.1.4.3 Patients co-infected with HIV,..........................................................................................................................188
