0,1
G6PD,glucose-6-phosphate dehydrogenase
HBHI,High burden to high impact approach
HFCA,health-facility catchment area
HRP2,histidine-rich protein 2
ICER,incremental cost-effectiveness ratio
IHR,International Health Regulation
IPTi,"intermittent preventive treatment in infants, now referred to as perennial malaria chemoprevention (PMC)"
IPTp,intermittent preventive treatment in pregnancy
IPTsc,intermittent preventive treatment in school-aged children
IQR,interquartile range
IRM,insecticide resistance management
IRS,indoor residual spraying
IRST,indoor residual surface treatment
IOS,International Organization for Standardization
ITN,insecticide-treated net
ITPS,insecticide-treated plastic sheeting
IVB,"WHO Department for Immunization, Vaccines and Biologicals"
IVM,integrated vector management
LLIN,long-lasting insecticidal net
LSM,larval source management
M&E,monitoring and evaluation
MDA,mass drug administration
MPAG,Malaria Policy Advisory Group (previously Malaria Policy Advisory Committee)
MRP,mass relapse prevention
MVIP,WHO Malaria Vaccine Implementation Programme
NAAT,nucleic acid amplification test
NMP,national malaria programme
NRS,non-randomised study
NSP,national (malaria) strategic plan
ORST,outdoor residual surface treatment
PBO,piperonyl butoxide
PCR,polymerase chain reaction
Pf HRP2,Plasmodium falciparum histidine-rich protein-2
Pfkelch13,Plasmodium falciparum kelch13 gene
Pfplasmepsin2/ 3,Plasmodium falciparum plasmepsin2/3 gene
Pf PR 2-10,Plasmodium falciparum prevalence in children aged 2-10 years
