0,1
"transmission, stable","Epidemiological type of malaria transmission characterized by a steady prevalence pattern, with little variation from one year to another except as the result of rapid scaling up of malaria interventions or exceptional environmental changes that affect transmission"
"transmission, unstable",Epidemiological type of malaria transmission characterized by large variation in incidence patterns from one year to another
"trap, mosquito","Device designed for capturing mosquitoes with or without attractant components (light, CO 2 , living baits, suction)"
treatment failure,"Inability to clear malarial parasitaemia or prevent recrudescence after administration of an antimalarial medicine, regardless of whether clinical symptoms are resolved"
"treatment, anti-relapse",Antimalarial treatment designed to kill hypnozoites and thereby prevent relapses or late primary infections with P. vivax or P. ovale
"treatment, directly observed (DOT)",Treatment administered under the direct observation of a health care worker
"treatment, first-line",Treatment recommended in national treatment guidelines as the medicine of choice for treating malaria
"treatment, second-line",Treatment used after failure of first-line treatment or in patients who are allergic to or unable to tolerate the first-line treatment
"treatment, presumptive",Administration of an antimalarial drug or drugs to people with suspected malaria without testing or before the results of blood examinations are available
"treatment, preventive",Intermittent administration of a full therapeutic course of an antimalarial either alone or in combination to prevent malarial illness by maintaining therapeutic drug levels in the blood throughout the period of greatest risk
"treatment, radical",Treatment to achieve complete cure. This applies only to vivax and ovale infections and consists of the use of medicines that destroy both blood and liver stages of the parasite.
trophozoite,The stage of development of malaria parasites growing within host red blood cells from the ring stage to just before nuclear division. Trophozoites contain malaria pigment that is visible by microscopy.
uncomplicated malaria,Symptomatic malaria parasitaemia without signs of severity or evidence of vital organ dysfunction
vector,"In malaria, adult females of any mosquito species in which Plasmodium undergoes its sexual cycle (whereby the mosquito is the definitive host of the parasite) to the infective sporozoite stage (completion of extrinsic development), ready for transmission when a vertebrate host is bitten"
vector competence,"For malaria, the ability of the mosquito to support completion of malaria parasite development after zygote formation and oocyst formation, development and release of sporozoites that migrate to salivary glands, allowing transmission of viable sporozoites when the infective female mosquito feeds again"
vector control,"Measures of any kind against malaria-transmitting mosquitoes, intended to limit their ability to transmit the disease"
vector susceptibility,"The degree to which a mosquito population is susceptible (i.e., not resistant) to insecticides"
"vector, principal",The species of Anopheles mainly responsible for transmitting malaria in any particular circumstance
"vector, secondary or subsidiary",Species of Anopheles thought to play a lesser role in transmission than the principal vector; capable of maintaining malaria transmission at a reduced level
vectorial capacity,"Number of new infections that the population of a given vector would induce per case per day at a given place and time, assuming that the human population is and remains fully susceptible to malaria"
vigilance,A function of the public health services for preventing reintroduction of malaria. Vigilance consists of close monitoring for any occurrence of malaria in receptive areas and application of the necessary measures to prevent re-establishment of transmission.
