0,1
ABT,artemisinin-based treatment
Anti-CS,anti circumsporozoite antibody
ACT,artemisinin-based combination therapy
AE,adverse event
AEFI,adverse event following immunization
AESI,adverse event of special interest
AL,artemether-lumefantrine
ANC,antenatal care
AS + AQ,artesunate + amodiaquine
ASPY,artesunate-pyronaridine
AVPU,"alert, voice, pain, unresponsive"
BCC,behaviour change communication
bw,body weight
CHW,community health worker
CI,confidence interval
CIDG,Cochrane Infectious Diseases Group
CPES,chemoprevention efficacy study
cRCT,community-randomized controlled trial
CS4ME,Civil Society for Malaria Elimination
DALY,disability adjusted life year
DHAP,diydroartemisinin-piperaquine
DHIS2,District Health Information Software 2
DOT,directly observed therapy
DP,dihydroartemisinin-piperaquine
DTP,"diphtheria, tetanus and pertussis (vaccine)"
EIR,entomological inoculation rate
EPI,Expanded Programme on Immunization
EtD,evidence-to-decision framework
GDG,Guideline Development Group
GMP,Global Malaria Programme
GPIRM,Global plan for insecticide resistance management
GRADE,"Grading of Recommendations Assessment, Development and Evaluation"
GRC,Guidelines Review Committee
GTS,Global technical strategy for malaria 2016 - 2030
GVCR,Global Vector Control Response
