0,1
hibernation,"Process in which mosquitoes at one or several stages (eggs, larvae, pupae, adults) survive by means of behavioural or physiological changes during cold periods"
house,Any structure other than a tent or mobile shelter in which humans sleep
household,"The ecosystem, including people and animals occupying the same house and the accompanying vectors"
house-spraying,Application of liquid insecticide formulation to specified (mostly interior) surfaces of buildings
human landing catch,A method for collecting vectors as they land on individuals
hyperparasitaemia,"A high density of parasites in the blood, which increases the risk that a patient's condition will deteriorate and become severe malaria"
hypnozoite,"Persistent liver stage of P. vivax and P. ovale malaria that remains dormant in host hepatocytes for variable periods, from three weeks to one year (exceptionally even longer), before activation and development into a pre-erythrocytic schizont, which then causes a blood-stage infection (relapse)"
importation rate,Rate of influx of parasites via infected individuals or infected Anopheles spp. mosquitoes
importation risk,Probability of influx of infected individuals and/or infective anopheline mosquitoes
"incidence, malaria",Number of newly diagnosed malaria cases during a defined period in a specified population
incubation period,Period between inoculation of malaria parasites and onset of clinical symptoms
"index, host preference",Proportion of blood-fed female Anopheles mosquitoes that feed on the host species and/or individual of interest
"index, human blood",Proportion of mosquito blood meals from humans
"index, parasite-density",Mean parasite density on slides examined and found positive for a sample of the population; calculated as the geometric mean of individual parasite density counts
indoor residual spraying,Operational procedure and strategy for malaria vector control involving spraying interior surfaces of dwellings with a residual insecticide to kill or repel endophilic mosquitoes
indoors,"Inside any shelter likely to be used by humans or animals, where mosquitoes may feed or rest"
"infection, chronic",Long-term presence of parasitaemia that is not causing acute or obvious illness but could potentially be transmitted
"infection, mixed",Malaria infection with more than one species of Plasmodium
"infection, reservoir of","Any person or animal in which Plasmodium species live and multiply, such that they can be transmitted to a susceptible host"
"infection, submicroscopic",Low-density blood-stage malaria infections that are not detected by conventional microscopy
infectious,"Capable of transmitting infection, a term commonly applied to human hosts"
infective,"Capable of producing infection, a term commonly applied to parasites (e.g., gametocytes, sporozoites) or to the vector (mosquito)"
infectivity,"Ability of sporozoites of a specific strain of Plasmodium to be injected by Anopheles mosquitoes into susceptible humans and develop through the liver stage to infect red blood cells (""infectivity to humans"") and the ability of competent Anopheles mosquitoes to ingest human Plasmodium gametocytes which undergo development until the mosquito has infective sporozoites in its salivary glands (""infectivity to mosquitoes"")."
insecticide,Chemical product (natural or synthetic) that kills insects. Ovicides kill eggs; larvicides (larvacides) kill larvae; pupacides kill pupae; adulticides kill adult mosquitoes. Residual insecticides remain active for an extended period
"insecticide, cross- resistance","Resistance to one insecticide by a mechanism that also confers resistance to another insecticide, even when the insect population has not been selected by exposure to the latter"
insecticide,"Amount of an insecticide (usually expressed as the concentration per standard period of exposure), which, in"
